0,1,2,3
SPY,1.2125144287987983,2.198652881891462,0.7517423896944675
AAPL,1.292065623311269,1.692098984250817,0.8279057029717795
MSFT,1.1794006781050423,1.903516041348689,0.45433930940971645
AMZN,1.295939371988351,1.9970483666324632,0.6362244861416234
JNJ,1.1705705549824756,2.181442770565896,0.43132058834616155
XOM,1.1874278135076266,2.5877533442690295,0.6793865693457081
PG,1.0255065911298553,1.7341915871498992,0.4649397470925202
KO,1.1767694391706827,2.327644786124651,
WMT,1.0857925740047272,1.8294975764656465,0.7066932750872662
INTC,1.0113376247168369,1.8101041997732885,0.44131264581385565
PFE,1.2850980079712149,2.1416524859734065,0.7539259412991759
DIS,1.3100785425906023,1.9312996313464024,0.6701069576392671
CSCO,1.1598183675895812,1.7622876834838521,
GE,1.6019924731594464,2.3210554659976563,0.5012697870481381
IBM,1.3451741107876096,2.4734777090420144,0.46629190866530085
GOOGL,1.2297209886025322,2.341059977973496,0.4217447715894691
JPM,1.055641788306393,2.1539792496790753,0.6016087954398651
V,1.2039992725305715,1.8273191634648278,0.3214632681200099
UNH,1.1378071313726437,1.9734993688893654,0.4545555893195991
HD,1.2875452436728736,1.755184287463755,0.7336367842572382
MA,1.077428080176523,1.7135601060491465,0.45470759594792376
VZ,1.5193955432030677,2.3149949269738985,0.32146326812001
T,1.3471476843395864,2.258351286379353,0.5027443997710295
PG,1.0255065911298553,1.7341915871498992,0.4649397470925202
CVX,1.1026867398363234,2.3220055326468017,0.4517419646575382
PEP,1.1816757259174409,1.8907586008193846,
WFC,1.0084818512076263,2.2518256803454575,0.6842467034143767
CMCSA,1.1458290148312322,2.53655328214823,
COST,1.2151679154264694,1.7734786315250815,0.509702313745336
BA,0.7444655292057681,1.719213862451099,0.5760488788438827
MCD,1.0063277162417865,1.637255337186077,
MDT,1.1888168431520933,2.3429933378643693,0.3559000720693324
ABT,1.0726835449681933,1.71180175290291,0.4362577346837209
ORCL,1.057888160155867,1.891019382362677,0.46078919859728285
C,1.2720057645550191,2.1335053474106123,0.6395774799833919
KO,1.1767694391706827,2.327644786124651,
MRK,1.0280495146971242,2.2649914170889955,0.5547775084474474
INTU,0.9982551721978488,1.7025674126456123,0.5759524509209154
ADBE,1.3109487683596717,1.8584803577797382,0.4008800762178635
AMGN,1.4160454649023184,2.511491926063152,0.41347639680276227
TXN,0.8538333435445375,1.8965894402581156,0.3945057901182743
GILD,1.4196224166224793,2.2486903610962288,0.6236957231282385
QCOM,1.5075216539188765,2.0697815038078184,0.7395171097279871
MO,1.5146478796512197,2.4157988903982797,0.5921731052233965
MMM,1.2492866878443805,2.2530119025360644,0.5901407764663611
ACN,1.1389536693239883,1.6602645598721189,0.39070545737088164
GS,1.308398651355222,2.428151980951509,0.8057619401584959
SPG,1.2335194324724914,2.3359689132920693,0.5015433401584195
TGT,1.2832015121387044,1.8114531607397633,0.641949764368385
USB,1.006155604923687,1.8456949521142312,0.554221480181014
SBUX,1.1620871292239978,1.7711849453168877,0.5535332638397774
CVS,1.481841382879843,2.388037437272694,0.4602819543560794
CAT,1.5137572799721104,2.2685934099171696,0.5210178527680144
