0,1,2,3
SPY,0.733945991815917,1.550533188192353,2.1062343621842743
AAPL,1.3814231165123834,2.221214222403957,2.9112393754360086
MSFT,0.9245118731600337,2.1528930766908134,2.545621770859118
AMZN,1.0919897953745576,2.0487374097713693,2.2963475415429957
JNJ,0.9195041267804359,1.8383516934222497,2.401668753000505
XOM,0.960538048640487,1.538062552162429,1.7548972134039693
PG,1.092141913812309,1.7496121438727206,2.2120181927494995
KO,0.48070934007367405,1.4107612723193732,1.7021933328853727
WMT,1.30309833082163,1.8701072712700002,2.284536514775793
INTC,0.8695472513961036,1.8230810989864843,2.014609345582908
PFE,0.9386337041723317,1.5019527816842182,2.0249960964157325
DIS,1.2159018665233279,1.8423965086785956,2.033641345622048
CSCO,0.7473117486181501,1.4507517557572258,2.1137355429769453
GE,1.1418043881692184,1.5844799518527164,1.7470880242246172
IBM,0.7312665549710552,1.4670080462824657,1.736645140892789
GOOGL,1.013685374938113,1.674630648298259,2.129556804609918
JPM,0.9111944214533141,1.7092732300948208,2.092818950712251
V,0.9825742003990925,1.9269134663320087,2.711978544628547
UNH,0.84036416845533,1.8742598284070824,2.366076207682093
HD,1.404514857820724,1.8463639460633892,2.013591292712885
MA,1.0639125780421406,1.977780957289051,2.561649485029453
VZ,0.5887999802250002,1.4058888680489943,1.8139260667815238
T,0.5914116303976542,1.5702332486399069,1.6487841786376927
PG,1.092141913812309,1.7496121438727206,2.2120181927494995
CVX,0.756361176245438,1.2142604706136368,1.578495067433166
PEP,0.8491897712163881,1.56507751678221,2.06480736011431
WFC,1.0008481397665743,1.2493745835676238,1.5039630197684275
CMCSA,1.0299338439772519,1.9673516612967112,2.1563224388589406
COST,0.9702146569301358,1.938030246929326,2.225680463548849
BA,0.9675404013368696,1.4035915372575316,1.4221014337051499
MCD,0.9600928776375044,1.7008126919567843,1.6231542667611938
MDT,0.9426384209760272,1.9058311825179624,2.1680847582578324
ABT,0.9534607753292823,1.7429917734027844,2.2207055181302198
ORCL,0.9067250503142923,1.4747694356595555,1.5334295719280524
C,0.7382044089023103,1.5998476820833396,1.706809126751753
KO,0.48070934007367405,1.4107612723193732,1.7021933328853727
MRK,0.8089157876559117,1.587446493913076,2.151946263200246
INTU,0.8165858604838787,1.871961451257648,2.510677284986583
ADBE,0.990264411449829,2.1291320128810955,2.4357414474661825
AMGN,1.024170297458714,1.8192963684115628,2.3934599585809657
TXN,1.2535885782531935,1.7549033344611904,1.972462189116831
GILD,0.8481929786550484,1.6607864576874558,2.068969472578725
QCOM,1.2600120965916175,1.7964622570503503,1.9923504910944831
MO,1.2181569849608898,1.7062160961116155,2.010539129500306
MMM,0.6257038977668714,1.6123967608971266,1.8314366850016996
ACN,1.050974918028333,1.5529234575928186,2.131750248128327
GS,0.8819313634860145,1.524613546975929,1.9301571573518408
SPG,0.569030931839213,1.5016587855994448,1.5886345399101194
TGT,1.1931151989007929,2.0747731274287715,2.6306600018319246
USB,0.8026707892217821,1.5180306745376224,1.6682352859660887
SBUX,1.2537148939682936,1.9211241376513968,2.194694603496565
CVS,0.8044284704961641,1.659979008041639,2.3167559037598604
CAT,1.024470402856192,1.6413169915947499,1.9647539820701627
